field_key,component_name,act_id,operation,required_from_lv2,required_at_ingest,required_in_db,required_for_runtime,system_generated,generator_owner,evidence_source,evidence_reference,decision_status
correctOrderWords,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctOrderWords (no requireField/runtime dependency),locked
correctOrderWords,activity_slides,ACT-015,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-015.requiredAll,locked
correctStressIndex,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.correctStressIndex (no requireField/runtime dependency),locked
correctStressIndex,activity_slides,ACT-002,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-002.requiredAll,locked
culturalContext,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.culturalContext (no requireField/runtime dependency),locked
defaultLang,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.defaultLang (no requireField/runtime dependency),locked
delayMs,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.delayMs (no requireField/runtime dependency),locked
description,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.description (no requireField/runtime dependency),locked
diagnosticChecks,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.diagnosticChecks (no requireField/runtime dependency),locked
differentiationPaths,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.differentiationPaths (no requireField/runtime dependency),locked
differentiationStrategies,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.differentiationStrategies (no requireField/runtime dependency),locked
diffLog,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.diffLog (no requireField/runtime dependency),locked
discourseFocus,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.discourseFocus (no requireField/runtime dependency),locked
errorIndex,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.errorIndex (no requireField/runtime dependency),locked
errorIndex,activity_slides,ACT-019,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-019.requiredAll,locked
estimatedMinutes,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.estimatedMinutes (no requireField/runtime dependency),locked
exampleResponses,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.exampleResponses (no requireField/runtime dependency),locked
expansionGuidelines,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.expansionGuidelines (no requireField/runtime dependency),locked
expectedCompletionRate,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.expectedCompletionRate (no requireField/runtime dependency),locked
expectedTimeOnTask,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.expectedTimeOnTask (no requireField/runtime dependency),locked
extractabilityTier,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.extractabilityTier (no requireField/runtime dependency),locked
extraPracticeNotes,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.extraPracticeNotes (no requireField/runtime dependency),locked
forbiddenPatterns,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.forbiddenPatterns (no requireField/runtime dependency),locked
grammarFocus,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.grammarFocus (no requireField/runtime dependency),locked
groupId,activity_slides,,category_payload,true,true,true,false,true,db,player-contract requireField + contract path,runtime_not_required:activity_slides.groupId (no requireField/runtime dependency),locked
groupName,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.groupName (no requireField/runtime dependency),locked
incorrectSentence,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.incorrectSentence (no requireField/runtime dependency),locked
incorrectSentence,activity_slides,ACT-019,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-019.requiredAll,locked
ingestPayload,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.ingestPayload (no requireField/runtime dependency),locked
ingestSource,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.ingestSource (no requireField/runtime dependency),locked
instructions,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.instructions (no requireField/runtime dependency),locked
intonationOptions,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.intonationOptions (no requireField/runtime dependency),locked
intonationOptions,activity_slides,ACT-004,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts + lib/activitySlidePreflight.ts,ACT-004.requiredAll + intonation synonym normalization + correctCurveId matching,locked
isRequiredToPass,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.isRequiredToPass (no requireField/runtime dependency),locked
keywords,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.keywords (no requireField/runtime dependency),locked
keywordThreshold,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.keywordThreshold (no requireField/runtime dependency),locked
l1InterferenceNotes,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.l1InterferenceNotes (no requireField/runtime dependency),locked
lastUpdatedAt,activity_slides,,category_payload,true,true,true,false,true,cms,player-contract requireField + contract path,runtime_not_required:activity_slides.lastUpdatedAt (no requireField/runtime dependency),locked
lastUpdatedBy,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.lastUpdatedBy (no requireField/runtime dependency),locked
learningObjectives,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.learningObjectives (no requireField/runtime dependency),locked
lessonId,activity_slides,,category_payload,false,false,false,false,true,db,player-contract requireField + contract path,runtime_not_required:activity_slides.lessonId (no requireField/runtime dependency),locked
letterUnits,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.letterUnits (no requireField/runtime dependency),locked
letterUnits,activity_slides,ACT-024,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-024.requiredAll,locked
levelMax,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.levelMax (no requireField/runtime dependency),locked
levelMin,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.levelMin (no requireField/runtime dependency),locked
lines,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.lines (no requireField/runtime dependency),locked
lines,activity_slides,ACT-001,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-001.requiredAll,locked
lines,activity_slides,ACT-005,propsJson,conditional_one_of,conditional_one_of,conditional_one_of,conditional_one_of,false,lv2,lib/activityShapeLock.ts,ACT-005.requiredOneOf=[lines|targetText|body],locked
linkedResources,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.linkedResources (no requireField/runtime dependency),locked
manualOverrideJson,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.manualOverrideJson (no requireField/runtime dependency),locked
masteryRule,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.masteryRule (no requireField/runtime dependency),locked
masteryThreshold,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.masteryThreshold (no requireField/runtime dependency),locked
matchPairs,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.matchPairs (no requireField/runtime dependency),locked
matchPairs,activity_slides,ACT-013,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-013.requiredAll,locked
maxAttempts,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.maxAttempts (no requireField/runtime dependency),locked
maxScoreValue,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.maxScoreValue (no requireField/runtime dependency),locked
maxWordCount,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.maxWordCount (no requireField/runtime dependency),locked
metadata,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.metadata (no requireField/runtime dependency),locked
minAttemptsBeforeSkip,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.minAttemptsBeforeSkip (no requireField/runtime dependency),locked
minWordCount,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.minWordCount (no requireField/runtime dependency),locked
moduleId,activity_slides,,category_payload,false,false,false,false,true,db,player-contract requireField + contract path,runtime_not_required:activity_slides.moduleId (no requireField/runtime dependency),locked
note,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.note (no requireField/runtime dependency),locked
notesForTeacherOrAI,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.notesForTeacherOrAI (no requireField/runtime dependency),locked
orderIndex,activity_slides,,category_payload,true,true,true,true,false,lv2,player-contract requireField + contract path,runtime_required:activity_slides.orderIndex via player-contract,locked
ownerTeam,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.ownerTeam (no requireField/runtime dependency),locked
passingScoreType,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.passingScoreType (no requireField/runtime dependency),locked
passingScoreValue,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.passingScoreValue (no requireField/runtime dependency),locked
passRequiredForNext,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.passRequiredForNext (no requireField/runtime dependency),locked
prerequisiteEdges,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.prerequisiteEdges (no requireField/runtime dependency),locked
prerequisiteModules,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.prerequisiteModules (no requireField/runtime dependency),locked
prerequisiteNodes,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.prerequisiteNodes (no requireField/runtime dependency),locked
prerequisites,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.prerequisites (no requireField/runtime dependency),locked
prerequisiteSlices,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.prerequisiteSlices (no requireField/runtime dependency),locked
priorLessons,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.priorLessons (no requireField/runtime dependency),locked
promptMode,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.promptMode (no requireField/runtime dependency),locked
promptMode,activity_slides,ACT-003,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-003.requiredAll,locked
promptText,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.promptText (no requireField/runtime dependency),locked
promptText,activity_slides,ACT-010,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-010.requiredAll,locked
promptText,activity_slides,ACT-020,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-020.requiredAll,locked
promptText,activity_slides,ACT-022,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-022.requiredAll,locked
promptText,activity_slides,ACT-026,propsJson,true,true,true,true,false,lv2,lib/activityShapeLock.ts,ACT-026.requiredAll,locked
pronunciationFocus,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.pronunciationFocus (no requireField/runtime dependency),locked
propsJson,activity_slides,,category_payload,true,true,true,true,false,lv2,player-contract requireField + contract path,runtime_required:activity_slides.propsJson via player-contract,locked
propsJson,activity_slides,ACT-001,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-002,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-003,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-004,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-005,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-009,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-010,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-011,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-012,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-013,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-014,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-015,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-016,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-017,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-018,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-019,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-020,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-021,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-022,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-023,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-024,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-025,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
propsJson,activity_slides,ACT-026,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
registerTone,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.registerTone (no requireField/runtime dependency),locked
registerVariants,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.registerVariants (no requireField/runtime dependency),locked
remediationGuidance,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.remediationGuidance (no requireField/runtime dependency),locked
remediationPaths,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.remediationPaths (no requireField/runtime dependency),locked
requiredScore,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.requiredScore (no requireField/runtime dependency),locked
retryPolicy,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.retryPolicy (no requireField/runtime dependency),locked
runtimeContractV1,activity_slides,,category_payload,false,false,false,false,false,lv2,player-contract requireField + contract path,runtime_not_required:activity_slides.runtimeContractV1 (no requireField/runtime dependency),locked
runtimeContractV1,activity_slides,ACT-001,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
runtimeContractV1,activity_slides,ACT-002,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
runtimeContractV1,activity_slides,ACT-003,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
runtimeContractV1,activity_slides,ACT-004,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
runtimeContractV1,activity_slides,ACT-005,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
runtimeContractV1,activity_slides,ACT-009,propsJson,true,true,true,true,false,lv2,lib/activitySlidePreflight.ts,validateActivitySlideFieldMap requires non-empty propsJson and propsJson.runtimeContractV1,locked
